Designator,Mid X,Mid Y,Rotation,Layer
BUS1,156.88,-125.887,0.0,top
C1,147.1168,-105.8164,0.0,top
C10,176.3268,-82.8548,0.0,bottom
C11,157.1244,-95.25,90.0,bottom
C13,159.7152,-76.2,270.0,bottom
C14,125.1204,-116.1796,0.0,bottom
C2,132.922,-116.1796,0.0,bottom
C3,147.62,-95.07,180.0,top
C4,181.17,-95.07,180.0,top
C6,176.3268,-107.6452,180.0,bottom
C7,189.5856,-94.5896,90.0,bottom
C8,190.1952,-112.8776,180.0,top
C9,196.596,-112.8776,0.0,top
IC1,157.734,-112.4712,0.0,top
IC2,156.906,-83.3882,90.0,top
IC3,190.434,-83.1342,90.0,top
IC5,173.6328,-95.4072,180.0,bottom
IC6,174.1424,-75.0824,180.0,bottom
Q1,195.8456,-107.2896,180.0,top
R1,193.357,-116.9416,0.0,top
R3,159.7152,-72.136,90.0,bottom
U2,131.3088,-86.5097,90.0,bottom
