BUS1:1
C1:1
C10:1
C11:1
C13:1
C14:1
C2:1
C3:1
C4:1
C6:1
C7:1
C8:1
C9:1
G***:1
IC1:1
IC2:1
IC3:1
IC5:1
IC6:1
LOGO_MSX:1
Q1:1
R1:1
R3:1
REF02:1
U2:1
