Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_EIA-3216-18_Kemet-A,1,10uF/10v,
C10,0603,1,10uF,
"C11, C12, C2, C3, C4, C5, C8, C9",0603,8,0.1uF,
"C6, C7",0603,2,12pF,
J1,PinHeader_2x05_P2.54mm_Vertical,1,AVR-JTAG-10,
Q1,Crystal_HC49-U_Vertical,1,33.8688,
R1,0603,1,3.3K,
"R2, R3",0603,2,330R,
"R4, R5",0603,2,1K,
U1,QFP80P1200X1200X120-44N,1,EPM7064STC44-7,EPM7064STC44-7
U2,UDA1334MOD,1,UDA1334MOD,
U3,80-QFP,1,YMF278B-F,
U4,SOP50P2000X120-48N,1,AM29F016B-120EC,
U5,SOP50P2000X120-48N,1,CY62167ELL,
