Designator,Mid X,Mid Y,Rotation,Layer
BUS1,156.88,-125.76,0.0,top
C1,132.922,-116.1796,0.0,bottom
C10,125.62,-116.1796,180.0,bottom
C11,156.55,-76.98,90.0,top
C12,156.72,-94.61,90.0,top
C2,164.6,-113.7,0.0,top
C3,159.9,-107.3,180.0,top
C4,168.494,-96.83,0.0,bottom
C5,181.7528,-83.2824,90.0,bottom
C6,190.1952,-112.8776,180.0,top
C7,196.596,-112.8776,0.0,top
C8,168.494,-71.5476,180.0,bottom
C9,149.9,-81.6,90.0,bottom
J1,109.255,-70.925,90.0,top
Q1,193.3956,-107.2896,180.0,top
R1,193.357,-116.9416,0.0,top
R2,114.1,-78.3,0.0,bottom
R3,114.1,-82.5,0.0,bottom
R4,186.17,-97.7,270.0,top
R5,156.59,-81.78,90.0,top
U1,163.0,-110.5,0.0,bottom
U2,131.2488,-85.5472,90.0,bottom
U3,165.7,-84.4,0.0,bottom
U4,171.91,-77.2,180.0,top
U5,171.91,-96.66,180.0,top
