C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
G***:1
IC1:1
IC2:1
IC3:1
IC4:1
IC5:1
IC6:1
LOGO_MSX:1
MSX BUS:1
Q1:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
REF**:1
SW1:1
U1:1
U2:1
