Designator,Mid X,Mid Y,Rotation,Layer
C1,147.1168,-105.8164,0.0,top
C10,176.3268,-82.8548,0.0,bottom
C11,157.1244,-95.25,90.0,bottom
C12,126.3824,-97.2761,0.0,bottom
C13,159.766,-76.2,270.0,bottom
C14,125.1204,-116.1796,0.0,bottom
C2,132.922,-116.1796,0.0,bottom
C3,151.2316,-95.1484,0.0,top
C4,181.6608,-95.1484,180.0,top
C5,115.4248,-96.6919,0.0,bottom
C6,176.3268,-107.6452,180.0,bottom
C7,189.5856,-94.5896,90.0,bottom
C8,190.1952,-112.8776,180.0,top
C9,196.596,-112.8776,0.0,top
D1,149.0014,-69.596,180.0,top
IC1,157.734,-112.4712,0.0,top
IC2,156.906,-83.3882,90.0,top
IC3,190.434,-83.1342,90.0,top
IC4,117.6448,-102.8133,180.0,bottom
IC5,173.6328,-95.4072,180.0,bottom
IC6,174.1424,-75.0824,180.0,bottom
LOGO_MSX,102.87,-75.8952,0.0,top
MSX BUS,157.0736,-125.7554,0.0,top
Q1,195.8456,-107.2896,180.0,top
R1,193.357,-116.9416,0.0,top
R2,141.8336,-70.9168,0.0,top
R3,159.7152,-72.136,90.0,bottom
R4,136.1238,-98.1397,180.0,bottom
R5,136.136,-103.3213,180.0,bottom
R6,137.2108,-77.9272,180.0,top
R7,137.2108,-83.0072,180.0,top
R8,118.0978,-116.1796,0.0,bottom
SW1,110.501,-69.9529,0.0,top
U1,131.8912,-81.4213,270.0,bottom
U2,131.3088,-86.5097,90.0,top
