BUS1:1
C1:1
C10:1
C11:1
C13:1
C14:1
C2:1
C5:1
C6:1
C7:1
C8:1
C9:1
G***:1
LOGO_MSX:1
Q1:1
R1:1
R2:1
R3:1
REF**:1
U1:1
U2:1
U3:1
U4:1
U5:1
