BUS1:1
C1:1
C10:1
C11:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
IC1:1
IC2:1
IC3:1
IC4:1
IC5:1
J1:1
J2:1
J3:1
J4:1
J5:1
Q1:1
R1:1
R2:1
REF**:1
