Designator,Mid X,Mid Y,Rotation,Layer
BUS1,184.912,-132.207,0.0,top
C1,184.671,-116.332,0.0,bottom
C10,226.314,-110.236,0.0,bottom
C11,204.724,-105.918,0.0,bottom
C12,162.814,-119.634,270.0,top
C13,185.42,-94.996,270.0,bottom
C14,167.894,-119.634,270.0,top
C15,143.2052,-115.7224,0.0,top
C16,153.8732,-111.9632,180.0,top
C17,212.09,-105.156,270.0,top
C18,143.764,-105.156,0.0,top
C19,150.368,-105.156,0.0,top
C2,161.036,-122.428,0.0,bottom
C20,143.764,-99.314,90.0,top
C21,150.368,-99.314,90.0,top
C22,138.43,-92.964,270.0,top
C23,159.258,-92.964,270.0,top
C24,150.139,-92.9415,90.0,bottom
C25,143.789,-92.9415,90.0,bottom
C26,168.91,-76.962,0.0,top
C27,158.75,-87.884,180.0,top
C28,175.006,-103.886,0.0,top
C3,192.306,-74.363,180.0,top
C4,149.606,-117.856,180.0,top
C5,145.034,-122.936,0.0,top
C6,217.452,-74.363,180.0,top
C9,217.665,-110.236,180.0,bottom
D1,169.926,-90.17,270.0,top
D2,164.914,-90.17,270.0,top
IC1,195.326,-117.856,0.0,top
IC2,188.684,-85.92,270.0,top
IC3,213.764,-85.92,270.0,top
IC4,200.406,-93.472,180.0,bottom
IC5,198.12,-104.902,0.0,top
J1,146.852,-73.288,0.0,top
Q1,224.536,-116.84,180.0,bottom
R1,154.178,-121.158,0.0,top
R10,135.636,-92.964,90.0,top
R11,156.21,-92.964,90.0,top
R12,214.63,-99.314,270.0,top
R13,171.133,-84.074,0.0,top
R14,140.545,-86.614,270.0,bottom
R15,143.849,-86.614,270.0,bottom
R16,150.901,-86.614,270.0,bottom
R17,154.009,-86.614,270.0,bottom
R18,166.815,-84.074,0.0,top
R19,162.331,-76.962,270.0,top
R2,150.368,-123.698,0.0,top
R20,145.313,-86.423,90.0,top
R21,152.933,-86.36,90.0,top
R3,221.996,-110.236,0.0,bottom
R4,161.227,-107.472,0.0,top
R5,161.227,-111.76,0.0,top
R6,138.43,-110.045,90.0,top
R7,155.702,-104.648,270.0,top
R8,155.702,-99.314,270.0,top
R9,138.43,-99.314,90.0,top
T1,158.496,-82.804,180.0,top
T2,158.521,-77.216,180.0,top
T3,141.4245,-86.614,180.0,top
T4,149.123,-86.614,180.0,top
U1,147.066,-109.982,0.0,top
U2,147.066,-92.964,0.0,top
U3,172.974,-109.728,270.0,top
